electronics_product_code,specifications,model_number,weight
8303598246,RAM 8GB,2881850259,3
8023349876,RAM 16GB,2369876224,9
8256001545,RAM 12GB,4399777847,3
1544561424,RAM 8GB,9374682329,6
2205397302,RAM 16GB,2026657843,7
5195878043,RAM 12GB,7592690653,6
8001838591,RAM 8GB,1156990920,10
6244146927,RAM 16GB,4975771404,5
8091693405,RAM 12GB,2329624847,6
2170950393,RAM 8GB,2200170103,6
7895526690,RAM 16GB,8270636544,8
4274581509,RAM 12GB,8219147089,2
6451046939,RAM 8GB,3713749274,4
3788234004,RAM 16GB,8533500934,3
6537843335,RAM 12GB,9577874366,4
5541029492,RAM 8GB,3743464083,2
2470761291,RAM 16GB,8114590147,5
7852456656,RAM 12GB,6532885693,3
7405077648,RAM 8GB,8547025952,10
2422148054,RAM 16GB,8231808352,2
6317518518,RAM 12GB,5163388781,8
3389005414,RAM 8GB,1478541221,6
2946591603,RAM 16GB,9452490841,4
7592818275,RAM 12GB,6425748608,8
6346421187,RAM 8GB,5294347702,9
8045503465,RAM 16GB,5821353440,9
2384683817,RAM 12GB,6057349012,2
2672697829,RAM 8GB,4700729562,9
8448001379,RAM 16GB,8285698594,10
3434072264,RAM 12GB,9774194256,3
9239208755,RAM 8GB,1145052591,10
4601730885,RAM 16GB,2824343927,8
1187752821,RAM 12GB,8956150651,9
7981093284,RAM 8GB,9927658443,1
5700877067,RAM 16GB,7837170964,7
2512717502,RAM 12GB,9947051723,6
4082740047,RAM 8GB,7594865123,8
8449241258,RAM 16GB,6074042705,10
3123471928,RAM 12GB,4159423597,8
6150723953,RAM 8GB,5660874693,4